sub_indicator,gender,council_district,value
20 TO 34 YEARS,MALE,1,34856.285
20 TO 34 YEARS,FEMALE,7,30151.635
20 TO 34 YEARS,FEMALE,CITY TOTAL,481155
20 TO 34 YEARS,FEMALE,8,30304.742
20 TO 34 YEARS,MALE,8,28668.605
20 TO 34 YEARS,FEMALE,6,31928.83
20 TO 34 YEARS,FEMALE,4,34903.144
20 TO 34 YEARS,FEMALE,3,28375.682
20 TO 34 YEARS,MALE,13,40675.014
20 TO 34 YEARS,MALE,11,37487.304
20 TO 34 YEARS,FEMALE,9,33003.97
20 TO 34 YEARS,MALE,12,27824.92
20 TO 34 YEARS,MALE,6,32726.217
20 TO 34 YEARS,FEMALE,15,29998.295
20 TO 34 YEARS,MALE,2,34629.29
20 TO 34 YEARS,MALE,15,32258.307
20 TO 34 YEARS,FEMALE,2,33751.306
20 TO 34 YEARS,MALE,4,34770.46
20 TO 34 YEARS,MALE,7,29044.226
20 TO 34 YEARS,FEMALE,1,29004.498
20 TO 34 YEARS,MALE,14,35901.053
20 TO 34 YEARS,MALE,3,30978.811
20 TO 34 YEARS,MALE,9,35006.416
20 TO 34 YEARS,FEMALE,10,30360.101
20 TO 34 YEARS,MALE,5,38524.696
20 TO 34 YEARS,FEMALE,13,33049.069
20 TO 34 YEARS,MALE,CITY TOTAL,505011
20 TO 34 YEARS,FEMALE,5,41093.024
20 TO 34 YEARS,FEMALE,11,40472.591
20 TO 34 YEARS,FEMALE,12,27003.269
20 TO 34 YEARS,MALE,10,31659.41
20 TO 34 YEARS,FEMALE,14,27754.851
35 TO 54 YEARS,MALE,5,31719.116
35 TO 54 YEARS,FEMALE,15,36900.777
35 TO 54 YEARS,FEMALE,3,36126.877
35 TO 54 YEARS,MALE,8,29399.44
35 TO 54 YEARS,FEMALE,CITY TOTAL,539806
35 TO 54 YEARS,MALE,6,36375.669
35 TO 54 YEARS,FEMALE,10,37294.317
35 TO 54 YEARS,MALE,15,34992.828
35 TO 54 YEARS,FEMALE,4,38636.981
35 TO 54 YEARS,MALE,4,43771.152
35 TO 54 YEARS,FEMALE,6,35574.191
35 TO 54 YEARS,FEMALE,12,41991.952
35 TO 54 YEARS,MALE,12,39051.3
35 TO 54 YEARS,FEMALE,11,41025.705
35 TO 54 YEARS,MALE,14,37164.537
35 TO 54 YEARS,FEMALE,13,33996.732
35 TO 54 YEARS,MALE,7,35721.861
35 TO 54 YEARS,MALE,10,35589.192
35 TO 54 YEARS,MALE,9,33479.266
35 TO 54 YEARS,FEMALE,5,33485.974
35 TO 54 YEARS,MALE,CITY TOTAL,549971
35 TO 54 YEARS,FEMALE,8,36458.871
35 TO 54 YEARS,FEMALE,1,30065.652
35 TO 54 YEARS,FEMALE,7,37180.755
35 TO 54 YEARS,FEMALE,14,28398.288
35 TO 54 YEARS,MALE,13,40503.053
35 TO 54 YEARS,MALE,11,43589.609
